"K00001","alcohol dehydrogenase [EC:1.1.1.1]"
"K00003","homoserine dehydrogenase [EC:1.1.1.3]"
"K00014","shikimate dehydrogenase [EC:1.1.1.25]"
"K00016","L-lactate dehydrogenase [EC:1.1.1.27]"
"K00024","malate dehydrogenase [EC:1.1.1.37]"
"K00033","6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]"
"K00036","glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]"
"K00052","3-isopropylmalate dehydrogenase [EC:1.1.1.85]"
"K00053","ketol-acid reductoisomerase [EC:1.1.1.86]"
"K00054","hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88]"
"K00057","glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]"
"K00059","3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]"
"K00067","dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]"
"K00075","UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]"
"K00088","IMP dehydrogenase [EC:1.1.1.205]"
"K00124","formate dehydrogenase iron-sulfur subunit"
"K00133","aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]"
"K00134","glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]"
"K00147","glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]"
"K00161","pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]"
"K00162","pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1]"
"K00215","4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]"
"K00244","fumarate reductase flavoprotein subunit [EC:1.3.5.4]"
"K00262","glutamate dehydrogenase (NADP+) [EC:1.4.1.4]"
"K00285","D-amino-acid dehydrogenase [EC:1.4.5.1]"
"K00286","pyrroline-5-carboxylate reductase [EC:1.5.1.2]"
"K00287","dihydrofolate reductase [EC:1.5.1.3]"
"K00297","methylenetetrahydrofolate reductase (NADPH) [EC:1.5.1.20]"
"K00355","NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]"
"K00382","dihydrolipoamide dehydrogenase [EC:1.8.1.4]"
"K00383","glutathione reductase (NADPH) [EC:1.8.1.7]"
"K00384","thioredoxin reductase (NADPH) [EC:1.8.1.9]"
"K00525","ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]"
"K00526","ribonucleoside-diphosphate reductase beta chain [EC:1.17.4.1]"
"K00548","5-methyltetrahydrofolate--homocysteine methyltransferase [EC:2.1.1.13]"
"K00549","5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [EC:2.1.1.14]"
"K00558","DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"
"K00560","thymidylate synthase [EC:2.1.1.45]"
"K00566","tRNA-uridine 2-sulfurtransferase [EC:2.8.1.13]"
"K00588","caffeoyl-CoA O-methyltransferase [EC:2.1.1.104]"
"K00600","glycine hydroxymethyltransferase [EC:2.1.2.1]"
"K00602","phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5.4.10]"
"K00604","methionyl-tRNA formyltransferase [EC:2.1.2.9]"
"K00609","aspartate carbamoyltransferase catalytic subunit [EC:2.1.3.2]"
"K00611","ornithine carbamoyltransferase [EC:2.1.3.3]"
"K00615","transketolase [EC:2.2.1.1]"
"K00616","transaldolase [EC:2.2.1.2]"
"K00625","phosphate acetyltransferase [EC:2.3.1.8]"
"K00627","pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12]"
"K00640","serine O-acetyltransferase [EC:2.3.1.30]"
"K00645","[acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39]"
"K00648","3-oxoacyl-[acyl-carrier-protein] synthase III [EC:2.3.1.180]"
"K00651","homoserine O-succinyltransferase/O-acetyltransferase [EC:2.3.1.46 2.3.1.31]"
"K00655","1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]"
"K00656","formate C-acetyltransferase [EC:2.3.1.54]"
"K00674","2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase [EC:2.3.1.117]"
"K00688","glycogen phosphorylase [EC:2.4.1.1]"
"K00689","dextransucrase [EC:2.4.1.5]"
"K00700","1,4-alpha-glucan branching enzyme [EC:2.4.1.18]"
"K00703","starch synthase [EC:2.4.1.21]"
"K00705","4-alpha-glucanotransferase [EC:2.4.1.25]"
"K00712","poly(glycerol-phosphate) alpha-glucosyltransferase [EC:2.4.1.52]"
"K00721","dolichol-phosphate mannosyltransferase [EC:2.4.1.83]"
"K00756","pyrimidine-nucleoside phosphorylase [EC:2.4.2.2]"
"K00757","uridine phosphorylase [EC:2.4.2.3]"
"K00759","adenine phosphoribosyltransferase [EC:2.4.2.7]"
"K00760","hypoxanthine phosphoribosyltransferase [EC:2.4.2.8]"
"K00761","uracil phosphoribosyltransferase [EC:2.4.2.9]"
