name	description	database	size	setRank	pSetRank	correctedPValue	adjustedPValue
map01240	Biosynthesis of cofactors	KEGG	703	0.0655043726413078	3.41084829951138e-13	0.00186005453302755	8.67147859748729e-07
map01200	Carbon metabolism	KEGG	479	0.0372988747194527	2.04141693246163e-08	0.0430903363347687	8.67147859748729e-07
map00010	Glycolysis / Gluconeogenesis	KEGG	137	0.0352963910431973	5.30216149210382e-08	0.530351843170904	8.67147859748729e-07
map01230	Biosynthesis of amino acids	KEGG	366	0.0307429326876746	5.29345426089725e-07	0.179411159853839	8.67147859748729e-07
map00710	Carbon fixation in photosynthetic organisms	KEGG	59	0.0271573881782756	3.727267185132e-06	1	8.67147859748729e-07
map00250	Alanine, aspartate and glutamate metabolism	KEGG	98	0.0251940723657392	1.15089472912909e-05	0.24923253033062	8.67147859748729e-07
map00562	Inositol phosphate metabolism	KEGG	123	0.0206951864955218	0.000184683159335228	0.0632719460307467	8.67147859748729e-07
map00521	Streptomycin biosynthesis	KEGG	45	0.0201648790905109	0.000260244095722398	0.899332591768632	8.67147859748729e-07
map00190	Oxidative phosphorylation	KEGG	239	0.0181633749492492	0.00099918554336441	0.00450973738106327	8.67147859748729e-07
map00230	Purine metabolism	KEGG	318	0.0172399619698139	0.00189759725912994	0.00169624849336767	8.67147859748729e-07
map04066	HIF-1 signaling pathway	KEGG	91	0.0165679355053657	0.00305224011420749	0.929032258064516	8.67147859748729e-07
map01250	Biosynthesis of nucleotide sugars	KEGG	411	0.0151715290823915	0.00845153569861506	0.0838452281775982	8.67147859748729e-07
map00030	Pentose phosphate pathway	KEGG	120	0.0144318210755499	0.0146915551956563	0.377324576896354	8.67147859748729e-07
map00400	Phenylalanine, tyrosine and tryptophan biosynthesis	KEGG	106	0.0121871277336153	0.0848090297781639	1	8.67147859748729e-07
map04070	Phosphatidylinositol signaling system	KEGG	84	0.0118529877209466	0.110715037170542	0.802150537634409	8.67147859748729e-07
map04217	Necroptosis	KEGG	107	0.0111842755763944	0.190784737162747	0.378410882930559	8.67147859748729e-07
map04071	Sphingolipid signaling pathway	KEGG	97	0.0109234927036283	0.235914198108023	0.875268817204301	8.67147859748729e-07
map02024	Quorum sensing	KEGG	338	0.0109097849764774	0.237694523207305	0.00203353207383203	8.67147859748729e-07
map00300	Lysine biosynthesis	KEGG	83	0.0104471294222352	0.348660241841632	0.296567714069976	8.67147859748729e-07
map02020	Two-component system	KEGG	552	0.009330167632234	0.898962952687028	0.209555016015841	8.67147859748729e-07
map00550	Peptidoglycan biosynthesis	KEGG	80	0.00796043061726344	1	5.41967412342956e-08	8.67147859748729e-07
map03018	RNA degradation	KEGG	79	0.00141068040693924	1	0.00472103976477686	8.67147859748729e-07
map00780	Biotin metabolism	KEGG	53	0.0053605256184153	1	0.019271472742692	8.67147859748729e-07
map00240	Pyrimidine metabolism	KEGG	174	0.00680105091456041	1	0.0544042630184571	8.67147859748729e-07
map04112	Cell cycle - Caulobacter	KEGG	32	0.00109923148592668	1	0.0555710048201706	8.67147859748729e-07
map00670	One carbon pool by folate	KEGG	51	0.00257346415379801	1	0.120209617582222	8.67147859748729e-07
map00061	Fatty acid biosynthesis	KEGG	97	0.00670785162312609	1	0.131093918594309	8.67147859748729e-07
map00900	Terpenoid backbone biosynthesis	KEGG	109	0.00504779629718626	1	0.150873727234875	8.67147859748729e-07
map00564	Glycerophospholipid metabolism	KEGG	171	0.00346392435756299	1	0.165302800307631	8.67147859748729e-07
map02026	Biofilm formation - Escherichia coli	KEGG	67	0.00205427968787551	1	0.229296650706208	8.67147859748729e-07
map00730	Thiamine metabolism	KEGG	67	0.00224823721154807	1	0.235636844201121	8.67147859748729e-07
map01232	Nucleotide metabolism	KEGG	177	0.00276148595798186	1	0.236640595480764	8.67147859748729e-07
map00052	Galactose metabolism	KEGG	124	0.00802505081746926	1	0.260486290729563	8.67147859748729e-07
map00450	Selenocompound metabolism	KEGG	60	0.00176885002461605	1	0.277668996052932	8.67147859748729e-07
map00630	Glyoxylate and dicarboxylate metabolism	KEGG	163	0.00631213504804771	1	0.290926160015317	8.67147859748729e-07
map02010	ABC transporters	KEGG	653	0.00246848383193721	1	0.310082657236142	8.67147859748729e-07
map04146	Peroxisome	KEGG	74	0.00142860178842863	1	0.311827956989247	8.67147859748729e-07
map00051	Fructose and mannose metabolism	KEGG	166	0.00377009108420407	1	0.318719207943102	8.67147859748729e-07
map00270	Cysteine and methionine metabolism	KEGG	189	0.0045272640025175	1	0.320053226085089	8.67147859748729e-07
map00600	Sphingolipid metabolism	KEGG	77	0.00732165190017022	1	0.323460749607666	8.67147859748729e-07
map00140	Steroid hormone biosynthesis	KEGG	146	0.00216349494624104	1	0.339784946236559	8.67147859748729e-07
map00220	Arginine biosynthesis	KEGG	83	0.00436445603605495	1	0.351402844257432	8.67147859748729e-07
map01051	Biosynthesis of ansamycins	KEGG	64	0.00156640486744552	1	0.380645161290323	8.67147859748729e-07
map00510	N-Glycan biosynthesis	KEGG	53	0.00324057984772219	1	0.389247311827957	8.67147859748729e-07
map04080	Neuroactive ligand-receptor interaction	KEGG	380	0.00319299065869862	1	0.400426379682729	8.67147859748729e-07
map00740	Riboflavin metabolism	KEGG	78	0.00173623202919864	1	0.410752688172043	8.67147859748729e-07
map00920	Sulfur metabolism	KEGG	142	0.00225730236798652	1	0.418247056364523	8.67147859748729e-07
map00770	Pantothenate and CoA biosynthesis	KEGG	74	0.00246926231331918	1	0.429215175186044	8.67147859748729e-07
map04068	FoxO signaling pathway	KEGG	107	0.00674862992536767	1	0.458962084298732	8.67147859748729e-07
map00620	Pyruvate metabolism	KEGG	164	0.00630792012140494	1	0.462014397294973	8.67147859748729e-07
map00552	Teichoic acid biosynthesis	KEGG	53	0.0024221576143161	1	0.464808346730785	8.67147859748729e-07
map04122	Sulfur relay system	KEGG	40	0.00113832942802821	1	0.470940834188215	8.67147859748729e-07
map00561	Glycerolipid metabolism	KEGG	129	0.00282713887186736	1	0.475287084686967	8.67147859748729e-07
map00500	Starch and sucrose metabolism	KEGG	143	0.00133989656125457	1	0.504722796151836	8.67147859748729e-07
map00543	Exopolysaccharide biosynthesis	KEGG	73	0.00137703119985927	1	0.519483131004692	8.67147859748729e-07
map00760	Nicotinate and nicotinamide metabolism	KEGG	149	0.00236900911220956	1	0.519893185145495	8.67147859748729e-07
map00520	Amino sugar and nucleotide sugar metabolism	KEGG	274	0.00245798649487314	1	0.531365000421407	8.67147859748729e-07
map00940	Phenylpropanoid biosynthesis	KEGG	90	0.00338753665678507	1	0.540702832761143	8.67147859748729e-07
map05111	Biofilm formation - Vibrio cholerae	KEGG	114	0.00163411596430934	1	0.558001270910563	8.67147859748729e-07
map00650	Butanoate metabolism	KEGG	160	0.00584668728570345	1	0.566503611198478	8.67147859748729e-07
map00402	Benzoxazinoid biosynthesis	KEGG	17	0.00109923148592668	1	0.576344086021505	8.67147859748729e-07
map04216	Ferroptosis	KEGG	62	0.00686314122757741	1	0.582795698924731	8.67147859748729e-07
map00750	Vitamin B6 metabolism	KEGG	53	0.00109923148592668	1	0.589043381535039	8.67147859748729e-07
map04214	Apoptosis - fly	KEGG	57	0.00388049415056971	1	0.589247311827957	8.67147859748729e-07
map00261	Monobactam biosynthesis	KEGG	67	0.00323494274594267	1	0.628885901454168	8.67147859748729e-07
map00999	Biosynthesis of various plant secondary metabolites	KEGG	186	0.00129109979089663	1	0.650027808676307	8.67147859748729e-07
map00643	Styrene degradation	KEGG	49	0.00323685911575388	1	0.653503893214683	8.67147859748729e-07
map00470	D-Amino acid metabolism	KEGG	120	0.00226153847425764	1	0.665951143742861	8.67147859748729e-07
map00524	Neomycin, kanamycin and gentamicin biosynthesis	KEGG	139	0.00109923148592668	1	0.678096032628847	8.67147859748729e-07
map00460	Cyanoamino acid metabolism	KEGG	81	0.00253820838100433	1	0.695523907550647	8.67147859748729e-07
map01055	Biosynthesis of vancomycin group antibiotics	KEGG	48	0.00156640486744552	1	0.69953652206155	8.67147859748729e-07
map00340	Histidine metabolism	KEGG	94	0.00143651056678207	1	0.703142380422692	8.67147859748729e-07
map00983	Drug metabolism - other enzymes	KEGG	84	0.00221651186262272	1	0.711827956989247	8.67147859748729e-07
map00260	Glycine, serine and threonine metabolism	KEGG	157	0.00144023560956163	1	0.736344328162742	8.67147859748729e-07
map00640	Propanoate metabolism	KEGG	136	0.00306979693094064	1	0.743418613274008	8.67147859748729e-07
map00040	Pentose and glucuronate interconversions	KEGG	147	0.0024178543900032	1	0.744205481835726	8.67147859748729e-07
map00960	Tropane, piperidine and pyridine alkaloid biosynthesis	KEGG	105	0.00145136108503794	1	0.752286017341082	8.67147859748729e-07
map00330	Arginine and proline metabolism	KEGG	176	0.00341877640603696	1	0.772208436062123	8.67147859748729e-07
map04016	MAPK signaling pathway - plant	KEGG	54	0.00156640486744552	1	0.776344086021505	8.67147859748729e-07
map04150	mTOR signaling pathway	KEGG	121	0.00438652986569452	1	0.784931481343561	8.67147859748729e-07
map00540	Lipopolysaccharide biosynthesis	KEGG	116	0.00109923148592668	1	0.798363507733494	8.67147859748729e-07
map00860	Porphyrin metabolism	KEGG	287	0.00193261292070394	1	0.8	8.67147859748729e-07
map01063	Biosynthesis of alkaloids derived from shikimate pathway	KEGG	143	0.0040931024826664	1	0.80108545074538	8.67147859748729e-07
map00680	Methane metabolism	KEGG	283	0.00349496132868133	1	0.82342417500927	8.67147859748729e-07
map00901	Indole alkaloid biosynthesis	KEGG	112	0.00109923148592668	1	0.823655913978495	8.67147859748729e-07
map00310	Lysine degradation	KEGG	148	0.00212577820916769	1	0.823974082073434	8.67147859748729e-07
map00333	Prodigiosin biosynthesis	KEGG	38	0.00140310331376163	1	0.827956989247312	8.67147859748729e-07
map04152	AMPK signaling pathway	KEGG	107	0.0041846522845541	1	0.855118830746057	8.67147859748729e-07
map00480	Glutathione metabolism	KEGG	95	0.00132015219275259	1	0.857681630017047	8.67147859748729e-07
map04024	cAMP signaling pathway	KEGG	193	0.00344502503364962	1	0.868906081405691	8.67147859748729e-07
map01064	Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid	KEGG	67	0.00464394810796612	1	0.877082174998898	8.67147859748729e-07
map00053	Ascorbate and aldarate metabolism	KEGG	119	0.00338107511236678	1	0.890478801740355	8.67147859748729e-07
map02060	Phosphotransferase system (PTS)	KEGG	129	0.00109923148592668	1	0.912555559310629	8.67147859748729e-07
map01220	Degradation of aromatic compounds	KEGG	478	0.00628526542184361	1	0.922850064480964	8.67147859748729e-07
map00350	Tyrosine metabolism	KEGG	162	0.00275010782344496	1	0.92464238791077	8.67147859748729e-07
map00998	Biosynthesis of various antibiotics	KEGG	165	0.00141999147089498	1	0.92464238791077	8.67147859748729e-07
map00430	Taurine and hypotaurine metabolism	KEGG	53	0.00147192252617494	1	0.936862331363335	8.67147859748729e-07
map00410	beta-Alanine metabolism	KEGG	77	0.00168046444461553	1	0.940628476084538	8.67147859748729e-07
map00280	Valine, leucine and isoleucine degradation	KEGG	111	0.00174535986151282	1	0.964839305928637	8.67147859748729e-07
map01053	Biosynthesis of siderophore group nonribosomal peptides	KEGG	61	0.00158535163241812	1	0.96989247311828	8.67147859748729e-07
map00360	Phenylalanine metabolism	KEGG	123	0.00137209911569003	1	0.970087133852429	8.67147859748729e-07
map01065	Biosynthesis of alkaloids derived from histidine and purine	KEGG	35	0.00414670687355913	1	0.982795698924731	8.67147859748729e-07
map00020	Citrate cycle (TCA cycle)	KEGG	86	0.00435385053331901	1	1	8.67147859748729e-07
map00062	Fatty acid elongation	KEGG	64	0.00140293126116643	1	1	8.67147859748729e-07
map00071	Fatty acid degradation	KEGG	109	0.00317022502363923	1	1	8.67147859748729e-07
map00073	Cutin, suberine and wax biosynthesis	KEGG	41	0.00120304779293087	1	1	8.67147859748729e-07
map00100	Steroid biosynthesis	KEGG	91	0.00171044999341383	1	1	8.67147859748729e-07
map00130	Ubiquinone and other terpenoid-quinone biosynthesis	KEGG	130	0.00285953027348162	1	1	8.67147859748729e-07
map00232	Caffeine metabolism	KEGG	38	0.00109923148592668	1	1	8.67147859748729e-07
map00253	Tetracycline biosynthesis	KEGG	38	0.00169954928117839	1	1	8.67147859748729e-07
map00254	Aflatoxin biosynthesis	KEGG	47	0.00123237589965955	1	1	8.67147859748729e-07
map00290	Valine, leucine and isoleucine biosynthesis	KEGG	42	0.00128256897735924	1	1	8.67147859748729e-07
map00331	Clavulanic acid biosynthesis	KEGG	15	0.00109923148592668	1	1	8.67147859748729e-07
map00332	Carbapenem biosynthesis	KEGG	51	0.00109923148592668	1	1	8.67147859748729e-07
map00361	Chlorocyclohexane and chlorobenzene degradation	KEGG	124	0.00272660569374042	1	1	8.67147859748729e-07
map00362	Benzoate degradation	KEGG	178	0.00415595283436459	1	1	8.67147859748729e-07
map00363	Bisphenol degradation	KEGG	27	0.00109923148592668	1	1	8.67147859748729e-07
map00364	Fluorobenzoate degradation	KEGG	50	0.00276147350051363	1	1	8.67147859748729e-07
map00380	Tryptophan metabolism	KEGG	163	0.00187673561388446	1	1	8.67147859748729e-07
map00401	Novobiocin biosynthesis	KEGG	62	0.00160370558898414	1	1	8.67147859748729e-07
map00405	Phenazine biosynthesis	KEGG	47	0.00144724661170209	1	1	8.67147859748729e-07
map00440	Phosphonate and phosphinate metabolism	KEGG	100	0.00139620306065155	1	1	8.67147859748729e-07
map00511	Other glycan degradation	KEGG	22	0.00338393590456572	1	1	8.67147859748729e-07
map00512	Mucin type O-glycan biosynthesis	KEGG	16	0.00170950773876804	1	1	8.67147859748729e-07
map00513	Various types of N-glycan biosynthesis	KEGG	52	0.00227409112120856	1	1	8.67147859748729e-07
map00514	Other types of O-glycan biosynthesis	KEGG	31	0.00168330770658653	1	1	8.67147859748729e-07
map00515	Mannose type O-glycan biosynthesis	KEGG	25	0.00138829501574147	1	1	8.67147859748729e-07
map00522	Biosynthesis of 12-, 14- and 16-membered macrolides	KEGG	146	0.00156640486744552	1	1	8.67147859748729e-07
map00523	Polyketide sugar unit biosynthesis	KEGG	117	0.00345431089883585	1	1	8.67147859748729e-07
map00525	Acarbose and validamycin biosynthesis	KEGG	63	0.00136552031339242	1	1	8.67147859748729e-07
map00531	Glycosaminoglycan degradation	KEGG	19	0.00143228041444266	1	1	8.67147859748729e-07
map00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	KEGG	23	0.00156640486744552	1	1	8.67147859748729e-07
map00533	Glycosaminoglycan biosynthesis - keratan sulfate	KEGG	14	0.00125495594643296	1	1	8.67147859748729e-07
map00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	KEGG	25	0.00109923148592668	1	1	8.67147859748729e-07
map00541	O-Antigen nucleotide sugar biosynthesis	KEGG	185	0.00331141635842456	1	1	8.67147859748729e-07
map00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	KEGG	31	0.00129784545509451	1	1	8.67147859748729e-07
map00565	Ether lipid metabolism	KEGG	56	0.0017468916160286	1	1	8.67147859748729e-07
map00590	Arachidonic acid metabolism	KEGG	126	0.001483071111057	1	1	8.67147859748729e-07
map00591	Linoleic acid metabolism	KEGG	53	0.00148303383710708	1	1	8.67147859748729e-07
map00592	alpha-Linolenic acid metabolism	KEGG	70	0.00129900774053175	1	1	8.67147859748729e-07
map00601	Glycosphingolipid biosynthesis - lacto and neolacto series	KEGG	27	0.00109923148592668	1	1	8.67147859748729e-07
map00603	Glycosphingolipid biosynthesis - globo and isoglobo series	KEGG	15	0.00244788473323385	1	1	8.67147859748729e-07
map00604	Glycosphingolipid biosynthesis - ganglio series	KEGG	14	0.0019591113442116	1	1	8.67147859748729e-07
map00621	Dioxin degradation	KEGG	97	0.00175232345361683	1	1	8.67147859748729e-07
map00622	Xylene degradation	KEGG	72	0.00132581057596332	1	1	8.67147859748729e-07
map00623	Toluene degradation	KEGG	93	0.0023239851616835	1	1	8.67147859748729e-07
map00624	Polycyclic aromatic hydrocarbon degradation	KEGG	150	0.00183583759662716	1	1	8.67147859748729e-07
map00625	Chloroalkane and chloroalkene degradation	KEGG	86	0.00153874921952957	1	1	8.67147859748729e-07
map00626	Naphthalene degradation	KEGG	89	0.00277554120658581	1	1	8.67147859748729e-07
map00627	Aminobenzoate degradation	KEGG	175	0.00416240768665779	1	1	8.67147859748729e-07
map00633	Nitrotoluene degradation	KEGG	49	0.00178246866862994	1	1	8.67147859748729e-07
map00642	Ethylbenzene degradation	KEGG	30	0.00109923148592668	1	1	8.67147859748729e-07
map00660	C5-Branched dibasic acid metabolism	KEGG	63	0.0012564505768516	1	1	8.67147859748729e-07
map00720	Carbon fixation pathways in prokaryotes	KEGG	160	0.00517692137154596	1	1	8.67147859748729e-07
map00785	Lipoic acid metabolism	KEGG	26	0.00109923148592668	1	1	8.67147859748729e-07
map00790	Folate biosynthesis	KEGG	142	0.00239035902059363	1	1	8.67147859748729e-07
map00791	Atrazine degradation	KEGG	39	0.00109923148592668	1	1	8.67147859748729e-07
map00830	Retinol metabolism	KEGG	75	0.00174190961919771	1	1	8.67147859748729e-07
map00902	Monoterpenoid biosynthesis	KEGG	103	0.00124081362297882	1	1	8.67147859748729e-07
map00903	Limonene degradation	KEGG	76	0.00116597054042937	1	1	8.67147859748729e-07
map00904	Diterpenoid biosynthesis	KEGG	192	0.00109923148592668	1	1	8.67147859748729e-07
map00906	Carotenoid biosynthesis	KEGG	179	0.00109923148592668	1	1	8.67147859748729e-07
map00909	Sesquiterpenoid and triterpenoid biosynthesis	KEGG	164	0.0013328181766861	1	1	8.67147859748729e-07
map00910	Nitrogen metabolism	KEGG	87	0.00149520985761659	1	1	8.67147859748729e-07
map00930	Caprolactam degradation	KEGG	48	0.00109923148592668	1	1	8.67147859748729e-07
map00945	Stilbenoid, diarylheptanoid and gingerol biosynthesis	KEGG	37	0.00164655011789806	1	1	8.67147859748729e-07
map00950	Isoquinoline alkaloid biosynthesis	KEGG	191	0.00144400281403457	1	1	8.67147859748729e-07
map00965	Betalain biosynthesis	KEGG	32	0.00109923148592668	1	1	8.67147859748729e-07
