name	description	database	size	setRank	pSetRank	correctedPValue	adjustedPValue
map01200	Carbon metabolism	KEGG	479	0.092318129600667	7.10134926028632e-17	0.00104055912488019	0.000113556882325601
map01230	Biosynthesis of amino acids	KEGG	366	0.0425469012973826	1.28696469924869e-09	0.0725860462893573	0.000113556882325601
map01240	Biosynthesis of cofactors	KEGG	703	0.0328153759787852	1.32846335247944e-07	0.0121637961147098	0.000113556882325601
map00010	Glycolysis / Gluconeogenesis	KEGG	137	0.0284038174062935	1.41803756015428e-06	0.779416114430791	0.000113556882325601
map04066	HIF-1 signaling pathway	KEGG	91	0.0200961932554527	0.000227375164819789	1	0.000113556882325601
map01250	Biosynthesis of nucleotide sugars	KEGG	411	0.0200151479531427	0.000239184228269607	0.004198798622457	0.000113556882325601
map00030	Pentose phosphate pathway	KEGG	120	0.0199969822561368	0.000241218867579928	0.481170642012326	0.000113556882325601
map00710	Carbon fixation in photosynthetic organisms	KEGG	59	0.0156493921295394	0.00523224390295902	1	0.000113556882325601
map04152	AMPK signaling pathway	KEGG	107	0.0143889441110763	0.0135948189593491	0.987628971818695	0.000113556882325601
map00670	One carbon pool by folate	KEGG	51	0.0135753094924259	0.0255758273553659	0.0314333249608821	0.000113556882325601
map02026	Biofilm formation - Escherichia coli	KEGG	67	0.0122210534580563	0.0756643311483168	0.00513583559760875	0.000113556882325601
map00561	Glycerolipid metabolism	KEGG	129	0.0117107725998804	0.114726364768453	0.0368820902417738	0.000113556882325601
map04068	FoxO signaling pathway	KEGG	107	0.0116602595080222	0.119177603025797	0.158502347536838	0.000113556882325601
map00620	Pyruvate metabolism	KEGG	164	0.011308562960666	0.159143130880758	0.2349240375635	0.000113556882325601
map00680	Methane metabolism	KEGG	283	0.00977459155353763	0.585821474275483	1	0.000113556882325601
map00270	Cysteine and methionine metabolism	KEGG	189	0.00964051777806464	0.655586739447726	0.25222308457479	0.000113556882325601
map00550	Peptidoglycan biosynthesis	KEGG	80	0.0039171403929407	1	7.09730514535004e-06	0.000113556882325601
map03018	RNA degradation	KEGG	79	0.00144417673266366	1	0.00228521820045937	0.000113556882325601
map00190	Oxidative phosphorylation	KEGG	239	0.00504847926268201	1	0.00404540895374255	0.000113556882325601
map02024	Quorum sensing	KEGG	338	0.00840553576207008	1	0.0308772064133359	0.000113556882325601
map00230	Purine metabolism	KEGG	318	0.00867837878910851	1	0.0345310499109558	0.000113556882325601
map04146	Peroxisome	KEGG	74	0.00219236627515492	1	0.0557851239669421	0.000113556882325601
map01232	Nucleotide metabolism	KEGG	177	0.00511446766746016	1	0.0726754579858254	0.000113556882325601
map00552	Teichoic acid biosynthesis	KEGG	53	0.00127606761033694	1	0.0802787963621449	0.000113556882325601
map04112	Cell cycle - Caulobacter	KEGG	32	0.0011253325189587	1	0.0849802371541503	0.000113556882325601
map00240	Pyrimidine metabolism	KEGG	174	0.00495954687418226	1	0.0862789075092992	0.000113556882325601
map00300	Lysine biosynthesis	KEGG	83	0.00439307121373459	1	0.106111938127748	0.000113556882325601
map00061	Fatty acid biosynthesis	KEGG	97	0.00547610637628259	1	0.107083774910222	0.000113556882325601
map00051	Fructose and mannose metabolism	KEGG	166	0.00834037920994362	1	0.110256638204253	0.000113556882325601
map03070	Bacterial secretion system	KEGG	75	0.00241910906780444	1	0.125814896565885	0.000113556882325601
map00900	Terpenoid backbone biosynthesis	KEGG	109	0.00307026424968209	1	0.130516786118446	0.000113556882325601
map00740	Riboflavin metabolism	KEGG	78	0.00354516644253298	1	0.156870797187003	0.000113556882325601
map00730	Thiamine metabolism	KEGG	67	0.00507089579694116	1	0.159090909090909	0.000113556882325601
map00780	Biotin metabolism	KEGG	53	0.00138636954224558	1	0.173724825898739	0.000113556882325601
map00770	Pantothenate and CoA biosynthesis	KEGG	74	0.00374912303810432	1	0.191074958263584	0.000113556882325601
map00450	Selenocompound metabolism	KEGG	60	0.00149323195567847	1	0.207612385810113	0.000113556882325601
map00040	Pentose and glucuronate interconversions	KEGG	147	0.00567879253541583	1	0.214568040654997	0.000113556882325601
map00940	Phenylpropanoid biosynthesis	KEGG	90	0.00425851712498923	1	0.252066115702479	0.000113556882325601
map04122	Sulfur relay system	KEGG	40	0.00183720681665634	1	0.265053128689492	0.000113556882325601
map04217	Necroptosis	KEGG	107	0.00797731612687802	1	0.275339066689336	0.000113556882325601
map04016	MAPK signaling pathway - plant	KEGG	54	0.00160359883951615	1	0.278925619834711	0.000113556882325601
map00480	Glutathione metabolism	KEGG	95	0.00380826684323368	1	0.319810282693676	0.000113556882325601
map00460	Cyanoamino acid metabolism	KEGG	81	0.00329333591658334	1	0.336567253563301	0.000113556882325601
map01051	Biosynthesis of ansamycins	KEGG	64	0.00160359883951615	1	0.351239669421487	0.000113556882325601
map02020	Two-component system	KEGG	552	0.00460118625203328	1	0.362886737153294	0.000113556882325601
map00250	Alanine, aspartate and glutamate metabolism	KEGG	98	0.0057231342552476	1	0.371421318719573	0.000113556882325601
map00790	Folate biosynthesis	KEGG	142	0.00124566216411429	1	0.413223140495868	0.000113556882325601
map00520	Amino sugar and nucleotide sugar metabolism	KEGG	274	0.00633408310630443	1	0.486975138159463	0.000113556882325601
map00330	Arginine and proline metabolism	KEGG	176	0.00467936332226159	1	0.489084632758703	0.000113556882325601
map00910	Nitrogen metabolism	KEGG	87	0.00157555482968283	1	0.513590626931778	0.000113556882325601
map00052	Galactose metabolism	KEGG	124	0.00877814918808833	1	0.513899258813012	0.000113556882325601
map00440	Phosphonate and phosphinate metabolism	KEGG	100	0.00148168707325376	1	0.518595041322314	0.000113556882325601
map00280	Valine, leucine and isoleucine degradation	KEGG	111	0.00344052176536131	1	0.527077665417586	0.000113556882325601
map00500	Starch and sucrose metabolism	KEGG	143	0.00204294308611551	1	0.530916464930081	0.000113556882325601
map00564	Glycerophospholipid metabolism	KEGG	171	0.00535547312977716	1	0.544645583501582	0.000113556882325601
map00540	Lipopolysaccharide biosynthesis	KEGG	116	0.0011253325189587	1	0.555785123966942	0.000113556882325601
map00470	D-Amino acid metabolism	KEGG	120	0.00283736642594336	1	0.561508143306233	0.000113556882325601
map02060	Phosphotransferase system (PTS)	KEGG	129	0.00144426592392077	1	0.564620100930616	0.000113556882325601
map00562	Inositol phosphate metabolism	KEGG	123	0.00477116546715331	1	0.580873671782763	0.000113556882325601
map04070	Phosphatidylinositol signaling system	KEGG	84	0.00662607368854096	1	0.615702479338843	0.000113556882325601
map00260	Glycine, serine and threonine metabolism	KEGG	157	0.00316432289140037	1	0.664549511388982	0.000113556882325601
map00650	Butanoate metabolism	KEGG	160	0.0052069528441909	1	0.681140550005939	0.000113556882325601
map00760	Nicotinate and nicotinamide metabolism	KEGG	149	0.00146137884983568	1	0.704693552835035	0.000113556882325601
map00140	Steroid hormone biosynthesis	KEGG	146	0.00242119175952089	1	0.708677685950413	0.000113556882325601
map00983	Drug metabolism - other enzymes	KEGG	84	0.00355465329316116	1	0.716364663004979	0.000113556882325601
map00920	Sulfur metabolism	KEGG	142	0.00194605581016267	1	0.717294710603224	0.000113556882325601
map00220	Arginine biosynthesis	KEGG	83	0.00219371200397949	1	0.718530548490338	0.000113556882325601
map05111	Biofilm formation - Vibrio cholerae	KEGG	114	0.00204918362816883	1	0.743130135434926	0.000113556882325601
map00600	Sphingolipid metabolism	KEGG	77	0.0079084490192586	1	0.766204606272136	0.000113556882325601
