name	description	database	size	setRank	pSetRank	correctedPValue	adjustedPValue
map00470	D-Amino acid metabolism	KEGG	120	0.0699204105827633	4.30443515486056e-12	0.107680338693317	8.1409564786125e-09
map02010	ABC transporters	KEGG	653	0.0610999374093734	5.53060178518529e-11	5.08809779913282e-10	8.1409564786125e-09
map01064	Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid	KEGG	67	0.0588113933489941	1.11342116160236e-10	0.00256910073375453	8.1409564786125e-09
map01230	Biosynthesis of amino acids	KEGG	366	0.0410370985630042	5.39958815364776e-08	0.0393115405210164	8.1409564786125e-09
map01065	Biosynthesis of alkaloids derived from histidine and purine	KEGG	35	0.0354343065234097	5.33787149939359e-07	0.00141140650921317	8.1409564786125e-09
map04071	Sphingolipid signaling pathway	KEGG	97	0.0244831411570764	9.57738121283223e-05	0.000416267192535127	8.1409564786125e-09
map00330	Arginine and proline metabolism	KEGG	176	0.0180404141286804	0.00371408732066887	0.00115115839591495	8.1409564786125e-09
map01063	Biosynthesis of alkaloids derived from shikimate pathway	KEGG	143	0.0148432878568853	0.0285824701762316	0.00494471689127678	8.1409564786125e-09
map00360	Phenylalanine metabolism	KEGG	123	0.0143399154769717	0.0399214821750651	0.0215315790747762	8.1409564786125e-09
map01062	Biosynthesis of terpenoids and steroids	KEGG	98	0.0128010737628199	0.114992035890415	1	8.1409564786125e-09
map00220	Arginine biosynthesis	KEGG	83	0.0126812950968158	0.124658944110235	0.00243239592662629	8.1409564786125e-09
map00997	Biosynthesis of various other secondary metabolites	KEGG	109	0.0121147759713918	0.185886460935231	1	8.1409564786125e-09
map01061	Biosynthesis of phenylpropanoids	KEGG	103	0.0119270857505058	0.211940547707403	0.449561403508772	8.1409564786125e-09
map00261	Monobactam biosynthesis	KEGG	67	0.011429752967462	0.302896240965141	0.0494506511139352	8.1409564786125e-09
map01066	Biosynthesis of alkaloids derived from terpenoid and polyketide	KEGG	48	0.0108279568981804	0.469911118341532	1	8.1409564786125e-09
map00230	Purine metabolism	KEGG	318	0.0101880066410122	0.755352953870328	0.0225638919540466	8.1409564786125e-09
map00190	Oxidative phosphorylation	KEGG	239	0.00414009380538647	1	1.09052884420031e-05	8.1409564786125e-09
map00410	beta-Alanine metabolism	KEGG	77	0.00706294492447169	1	0.00329533682244003	8.1409564786125e-09
map04080	Neuroactive ligand-receptor interaction	KEGG	380	0.00516543727621349	1	0.00485635919291996	8.1409564786125e-09
map00564	Glycerophospholipid metabolism	KEGG	171	0.00795068664036458	1	0.00832082496198881	8.1409564786125e-09
map00760	Nicotinate and nicotinamide metabolism	KEGG	149	0.00561622259085311	1	0.00892919303881856	8.1409564786125e-09
map00550	Peptidoglycan biosynthesis	KEGG	80	0.00141096344113811	1	0.00911867637979935	8.1409564786125e-09
map01232	Nucleotide metabolism	KEGG	177	0.00236609922822576	1	0.00930048676968027	8.1409564786125e-09
map00340	Histidine metabolism	KEGG	94	0.00669572702333729	1	0.0148969167718898	8.1409564786125e-09
map00232	Caffeine metabolism	KEGG	38	0.00338750322404289	1	0.0151132989123621	8.1409564786125e-09
map00040	Pentose and glucuronate interconversions	KEGG	147	0.00360424188336603	1	0.0174414560630652	8.1409564786125e-09
map04024	cAMP signaling pathway	KEGG	193	0.00918409924535356	1	0.0175801289890375	8.1409564786125e-09
