name	description	database	size	setRank	pSetRank	correctedPValue	adjustedPValue
map01240	Biosynthesis of cofactors	KEGG	703	0.0614779093840417	1.30828970528186e-12	0.000787507152481238	2.59149203185752e-07
map01200	Carbon metabolism	KEGG	479	0.0338574549938838	1.08359347015152e-07	0.105667061660409	2.59149203185752e-07
map01230	Biosynthesis of amino acids	KEGG	366	0.0276261919431559	2.89913768210737e-06	0.36161292348449	2.59149203185752e-07
map04066	HIF-1 signaling pathway	KEGG	91	0.0271446400568793	3.78710754302453e-06	1	2.59149203185752e-07
map00710	Carbon fixation in photosynthetic organisms	KEGG	59	0.0248371658646897	1.43442057256114e-05	1	2.59149203185752e-07
map01250	Biosynthesis of nucleotide sugars	KEGG	411	0.0234201659711145	3.35303616521937e-05	0.0259507492049283	2.59149203185752e-07
map00250	Alanine, aspartate and glutamate metabolism	KEGG	98	0.0217058377698407	9.71877484046563e-05	0.170748802699793	2.59149203185752e-07
map00230	Purine metabolism	KEGG	318	0.0216287301843627	0.0001016887666802	0.00163206192806524	2.59149203185752e-07
map00010	Glycolysis / Gluconeogenesis	KEGG	137	0.0193400435747583	0.000452014380266612	0.735103444647595	2.59149203185752e-07
map04217	Necroptosis	KEGG	107	0.0144825709016097	0.014429614592108	0.391803079246408	2.59149203185752e-07
map00190	Oxidative phosphorylation	KEGG	239	0.0124771678648521	0.0686149905188649	0.00138086403097966	2.59149203185752e-07
map00521	Streptomycin biosynthesis	KEGG	45	0.0113705560618893	0.167755602572036	0.929189607398611	2.59149203185752e-07
map00240	Pyrimidine metabolism	KEGG	174	0.0113393883931437	0.171459690311161	0.21030632146497	2.59149203185752e-07
map00770	Pantothenate and CoA biosynthesis	KEGG	74	0.00984668101021638	0.596741413145568	0.0319671116993183	2.59149203185752e-07
map00670	One carbon pool by folate	KEGG	51	0.00941654765946533	0.859090516496695	0.0924929852564162	2.59149203185752e-07
map00550	Peptidoglycan biosynthesis	KEGG	80	0.0086453621192451	1	1.61968251991095e-08	2.59149203185752e-07
map03018	RNA degradation	KEGG	79	0.00152056997689006	1	0.00402311521400991	2.59149203185752e-07
map04112	Cell cycle - Caulobacter	KEGG	32	0.00206131360719539	1	0.00794828889128792	2.59149203185752e-07
map02024	Quorum sensing	KEGG	338	0.00731114107233447	1	0.0100213138963779	2.59149203185752e-07
map00900	Terpenoid backbone biosynthesis	KEGG	109	0.00455399874355109	1	0.0193383558823271	2.59149203185752e-07
map00540	Lipopolysaccharide biosynthesis	KEGG	116	0.0027657919799214	1	0.106569766912243	2.59149203185752e-07
map00300	Lysine biosynthesis	KEGG	83	0.0085954430300731	1	0.119092450415449	2.59149203185752e-07
map04146	Peroxisome	KEGG	74	0.00177842713421083	1	0.269067796610169	2.59149203185752e-07
map00780	Biotin metabolism	KEGG	53	0.00553554336450128	1	0.270484724171435	2.59149203185752e-07
map01232	Nucleotide metabolism	KEGG	177	0.00197110687001409	1	0.285179301268106	2.59149203185752e-07
map00730	Thiamine metabolism	KEGG	67	0.00240948126889788	1	0.290128613647866	2.59149203185752e-07
map00051	Fructose and mannose metabolism	KEGG	166	0.00287621777822379	1	0.307772079007413	2.59149203185752e-07
map02026	Biofilm formation - Escherichia coli	KEGG	67	0.00206114748446161	1	0.323462597706272	2.59149203185752e-07
map00543	Exopolysaccharide biosynthesis	KEGG	73	0.00161747993568251	1	0.328537696302609	2.59149203185752e-07
map01051	Biosynthesis of ansamycins	KEGG	64	0.00168842510420909	1	0.35593220338983	2.59149203185752e-07
map00740	Riboflavin metabolism	KEGG	78	0.00232591391500699	1	0.36228813559322	2.59149203185752e-07
map00030	Pentose phosphate pathway	KEGG	120	0.00635692285412322	1	0.380648319063538	2.59149203185752e-07
map00940	Phenylpropanoid biosynthesis	KEGG	90	0.00489748730037483	1	0.402371441937457	2.59149203185752e-07
map00450	Selenocompound metabolism	KEGG	60	0.00172487502983038	1	0.413417868016164	2.59149203185752e-07
map00220	Arginine biosynthesis	KEGG	83	0.00347707486052262	1	0.417348629164721	2.59149203185752e-07
map00620	Pyruvate metabolism	KEGG	164	0.00919546894406418	1	0.418481737012615	2.59149203185752e-07
map00562	Inositol phosphate metabolism	KEGG	123	0.00684558567557473	1	0.423831027584005	2.59149203185752e-07
