name	description	database	size	setRank	pSetRank	correctedPValue	adjustedPValue
map01230	Biosynthesis of amino acids	KEGG	366	0.0972634345766782	3.22777012774989e-16	4.45764622177591e-05	0.000150056115784378
map01240	Biosynthesis of cofactors	KEGG	703	0.054219645442883	7.39283820995338e-11	7.95823830509557e-05	0.000150056115784378
map01200	Carbon metabolism	KEGG	479	0.038109343835449	4.18849829166531e-08	0.103100611388822	0.000150056115784378
map00010	Glycolysis / Gluconeogenesis	KEGG	137	0.0247037795667325	3.27705211198901e-05	0.4810627347062	0.000150056115784378
map04066	HIF-1 signaling pathway	KEGG	91	0.020251355816817	0.000457985740499618	1	0.000150056115784378
map01250	Biosynthesis of nucleotide sugars	KEGG	411	0.0188539533178854	0.00110753242428775	0.00170623921011977	0.000150056115784378
map00030	Pentose phosphate pathway	KEGG	120	0.0164862966505825	0.00532597843906747	0.440491171203946	0.000150056115784378
map00710	Carbon fixation in photosynthetic organisms	KEGG	59	0.0134905679287209	0.0448551497267247	1	0.000150056115784378
map00270	Cysteine and methionine metabolism	KEGG	189	0.0125303906957472	0.0918632372631372	0.447056386129427	0.000150056115784378
map00620	Pyruvate metabolism	KEGG	164	0.0123672407502018	0.103626820232366	0.311917134313103	0.000150056115784378
map04070	Phosphatidylinositol signaling system	KEGG	84	0.0122863478793941	0.109817879772889	0.545454545454545	0.000150056115784378
map04068	FoxO signaling pathway	KEGG	107	0.0110855464995983	0.278055735717649	0.17500187969084	0.000150056115784378
map00061	Fatty acid biosynthesis	KEGG	97	0.00989962286229741	0.715355694764349	0.0841189684023862	0.000150056115784378
map00550	Peptidoglycan biosynthesis	KEGG	80	0.0078526968872124	1	9.37850723652361e-06	0.000150056115784378
map00190	Oxidative phosphorylation	KEGG	239	0.00463743842033035	1	0.000860266842278947	0.000150056115784378
map03018	RNA degradation	KEGG	79	0.00144238936201963	1	0.000985669478280963	0.000150056115784378
map02026	Biofilm formation - Escherichia coli	KEGG	67	0.00725663652778628	1	0.00513583559760875	0.000150056115784378
map04112	Cell cycle - Caulobacter	KEGG	32	0.00154778501248521	1	0.00630489842108099	0.000150056115784378
map00670	One carbon pool by folate	KEGG	51	0.00311497584199379	1	0.0133421745111792	0.000150056115784378
map00230	Purine metabolism	KEGG	318	0.00635263143488738	1	0.0294145181686106	0.000150056115784378
map01232	Nucleotide metabolism	KEGG	177	0.00570148074115973	1	0.0589839010914253	0.000150056115784378
map04146	Peroxisome	KEGG	74	0.00155223957665348	1	0.0619834710743801	0.000150056115784378
map02024	Quorum sensing	KEGG	338	0.00821120100337368	1	0.070247933884298	0.000150056115784378
map00300	Lysine biosynthesis	KEGG	83	0.00590711472320397	1	0.0811471785001708	0.000150056115784378
map00240	Pyrimidine metabolism	KEGG	174	0.00407800273526778	1	0.0821008340510348	0.000150056115784378
map00564	Glycerophospholipid metabolism	KEGG	171	0.00828425447737857	1	0.109018056530685	0.000150056115784378
map00900	Terpenoid backbone biosynthesis	KEGG	109	0.00305954148836465	1	0.113431301612956	0.000150056115784378
map00770	Pantothenate and CoA biosynthesis	KEGG	74	0.00342595534560757	1	0.122017836450642	0.000150056115784378
map00730	Thiamine metabolism	KEGG	67	0.00486099917003138	1	0.140495867768595	0.000150056115784378
map00040	Pentose and glucuronate interconversions	KEGG	147	0.00389444661260683	1	0.162406105093852	0.000150056115784378
map00250	Alanine, aspartate and glutamate metabolism	KEGG	98	0.00504294672872426	1	0.164835823783175	0.000150056115784378
map00740	Riboflavin metabolism	KEGG	78	0.00344440981310972	1	0.219453142378044	0.000150056115784378
map00051	Fructose and mannose metabolism	KEGG	166	0.00579949997403887	1	0.225453352176038	0.000150056115784378
map04217	Necroptosis	KEGG	107	0.00787317678636536	1	0.226846939818255	0.000150056115784378
map00450	Selenocompound metabolism	KEGG	60	0.00143227106047419	1	0.227835569544195	0.000150056115784378
map03070	Bacterial secretion system	KEGG	75	0.00241611508207214	1	0.241286381602587	0.000150056115784378
map00552	Teichoic acid biosynthesis	KEGG	53	0.00828712844548413	1	0.257254966561319	0.000150056115784378
map00480	Glutathione metabolism	KEGG	95	0.00236785523350014	1	0.258920654110441	0.000150056115784378
map00520	Amino sugar and nucleotide sugar metabolism	KEGG	274	0.0066422242506424	1	0.268998888656083	0.000150056115784378
map04122	Sulfur relay system	KEGG	40	0.00165599517663127	1	0.286176274318567	0.000150056115784378
map04016	MAPK signaling pathway - plant	KEGG	54	0.00160161416172309	1	0.291322314049587	0.000150056115784378
map00780	Biotin metabolism	KEGG	53	0.00141262801432335	1	0.301533117738651	0.000150056115784378
map00460	Cyanoamino acid metabolism	KEGG	81	0.0029826619037165	1	0.303808839381962	0.000150056115784378
map00790	Folate biosynthesis	KEGG	142	0.00119786072109971	1	0.367768595041322	0.000150056115784378
map00940	Phenylpropanoid biosynthesis	KEGG	90	0.00418065137038169	1	0.378099173553719	0.000150056115784378
map01051	Biosynthesis of ansamycins	KEGG	64	0.00160161416172309	1	0.392561983471074	0.000150056115784378
map02060	Phosphotransferase system (PTS)	KEGG	129	0.00147352894152649	1	0.393005252908334	0.000150056115784378
map00521	Streptomycin biosynthesis	KEGG	45	0.00889052343247244	1	0.433884297520661	0.000150056115784378
map05111	Biofilm formation - Vibrio cholerae	KEGG	114	0.00204664747689428	1	0.449533921870038	0.000150056115784378
map00280	Valine, leucine and isoleucine degradation	KEGG	111	0.00309246663801954	1	0.477482333213558	0.000150056115784378
map00910	Nitrogen metabolism	KEGG	87	0.00170082368768991	1	0.47987723763067	0.000150056115784378
map00470	D-Amino acid metabolism	KEGG	120	0.00228842121599336	1	0.507062883213216	0.000150056115784378
map00440	Phosphonate and phosphinate metabolism	KEGG	100	0.00151677603723119	1	0.516528925619835	0.000150056115784378
map00540	Lipopolysaccharide biosynthesis	KEGG	116	0.0011239397626127	1	0.520661157024793	0.000150056115784378
map00052	Galactose metabolism	KEGG	124	0.00899209160655355	1	0.526738413099026	0.000150056115784378
map00650	Butanoate metabolism	KEGG	160	0.00512071244783009	1	0.531808725268459	0.000150056115784378
map00260	Glycine, serine and threonine metabolism	KEGG	157	0.00248576501303798	1	0.532974933114134	0.000150056115784378
map00562	Inositol phosphate metabolism	KEGG	123	0.00381038290151451	1	0.571454237462143	0.000150056115784378
map00500	Starch and sucrose metabolism	KEGG	143	0.00213457045467795	1	0.575771168860906	0.000150056115784378
map00561	Glycerolipid metabolism	KEGG	129	0.00838331475363853	1	0.670753959131089	0.000150056115784378
map00983	Drug metabolism - other enzymes	KEGG	84	0.00331689952683399	1	0.672963400236128	0.000150056115784378
map02010	ABC transporters	KEGG	653	0.00280290990991193	1	0.688419716659666	0.000150056115784378
map00998	Biosynthesis of various antibiotics	KEGG	165	0.00196675392472579	1	0.734038174249416	0.000150056115784378
map00261	Monobactam biosynthesis	KEGG	67	0.00184785574286121	1	0.734946871310508	0.000150056115784378
map00330	Arginine and proline metabolism	KEGG	176	0.00560640719889396	1	0.747556977093001	0.000150056115784378
map00220	Arginine biosynthesis	KEGG	83	0.0021381022736522	1	0.800409370617163	0.000150056115784378
map02020	Two-component system	KEGG	552	0.00299184882262949	1	0.810568409934159	0.000150056115784378
map00140	Steroid hormone biosynthesis	KEGG	146	0.00188201311936457	1	0.822314049586777	0.000150056115784378
map00980	Metabolism of xenobiotics by cytochrome P450	KEGG	155	0.00349529567221348	1	0.834710743801653	0.000150056115784378
map00760	Nicotinate and nicotinamide metabolism	KEGG	149	0.00148963985960412	1	0.841175575696495	0.000150056115784378
map00600	Sphingolipid metabolism	KEGG	77	0.00756595663242367	1	0.862965644941889	0.000150056115784378
map00750	Vitamin B6 metabolism	KEGG	53	0.0011239397626127	1	0.871079300375874	0.000150056115784378
map00920	Sulfur metabolism	KEGG	142	0.00160161416172309	1	0.874223602484472	0.000150056115784378
map00643	Styrene degradation	KEGG	49	0.00251232208111186	1	0.892561983471074	0.000150056115784378
map00053	Ascorbate and aldarate metabolism	KEGG	119	0.00122460174663675	1	0.917355371900826	0.000150056115784378
map00630	Glyoxylate and dicarboxylate metabolism	KEGG	163	0.00235671176741188	1	0.928377024900053	0.000150056115784378
map00402	Benzoxazinoid biosynthesis	KEGG	17	0.0011239397626127	1	0.929752066115702	0.000150056115784378
map00999	Biosynthesis of various plant secondary metabolites	KEGG	186	0.00190398940487247	1	0.929752066115702	0.000150056115784378
map00524	Neomycin, kanamycin and gentamicin biosynthesis	KEGG	139	0.0011239397626127	1	0.93595041322314	0.000150056115784378
map00430	Taurine and hypotaurine metabolism	KEGG	53	0.00297050473097871	1	0.948347107438017	0.000150056115784378
map01220	Degradation of aromatic compounds	KEGG	478	0.00550367720058156	1	0.949206898971549	0.000150056115784378
map00350	Tyrosine metabolism	KEGG	162	0.00378473371653161	1	0.956864023910094	0.000150056115784378
map04080	Neuroactive ligand-receptor interaction	KEGG	380	0.00320342911603116	1	0.963193842878293	0.000150056115784378
